Código,Nombre Institución,Categoría,ID_Municipio,Municipio
3803,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,Mixta,153,Cali
3806,CORPORACION ESCUELA SUPERIOR DE ADMINISTRACION Y ESTUDIOS TECNOLOGICOS- EAE,Técnica o Tecnóloga,153,Cali
3807,ESCUELA DE TECNOLOGIAS DE ANTIOQUIA -ETA-,Técnica o Tecnóloga,562,Medellín
3808,CORPORACION TECNOLOGICA DE BOGOTA - CTB,Técnica o Tecnóloga,111,Bogotá D.C.
3809,INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-,Técnica o Tecnóloga,111,Bogotá D.C.
3810,CORPORACION EDUCATIVA -ITAE-,Técnica o Tecnóloga,121,Bucaramanga
3811,CORPORACION DE EDUCACION DEL NORTE DEL TOLIMA - COREDUCACION,Técnica o Tecnóloga,434,Honda
3812,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,Mixta,100,Bello
3817,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-,Mixta,671,Pasto
3819,CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO,Técnica o Tecnóloga,111,Bogotá D.C.
3820,CORPORACION ACADEMIA TECNOLOGICA DE COLOMBIA -ATEC-,Técnica o Tecnóloga,562,Medellín
3821,CORPORACION POLITECNICO DE LA COSTA ATLANTICA,Técnica o Tecnóloga,92,Barranquilla
3822,POLITECNICO ICAFT,Técnica o Tecnóloga,111,Bogotá D.C.
3824,CENTRO DE CONOCIMIENTO ALEJANDRÍA - ALEJANDRÍA,Técnica o Tecnóloga,111,Bogotá D.C.
3826,CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-,Técnica o Tecnóloga,111,Bogotá D.C.
3827,POLITECNICO SANTAFE DE BOGOTA,Técnica o Tecnóloga,111,Bogotá D.C.
3828,CORPORACIÓN TECNOLÓGICA DE EDUCACIÓN SUPERIOR SAPIENZA -CTE-,Técnica o Tecnóloga,111,Bogotá D.C.
3829,CORPORACIÓN JOHN F. KENNEDY,Técnica o Tecnóloga,111,Bogotá D.C.
3830,CORPORACION UNIVERSAL DE INVESTIGACION Y TECNOLOGIA -CORUNIVERSITEC-,Técnica o Tecnóloga,111,Bogotá D.C.
3831,CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Mixta,703,Popayán
3834,CORPORACION TECNOLOGICA CATOLICA DE OCCIDENTE - TECOC -,Técnica o Tecnóloga,915,Santafé de Antioquia
3901,ESCUELA DE FORMACION DE INFANTERIA DE MARINA,Técnica o Tecnóloga,259,Coveñas
3902,ESCUELA  MILITAR DE SUBOFICIALES SARGENTO INOCENCIO CHINCA,Técnica o Tecnóloga,615,Nilo
4101,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO,Técnica o Tecnóloga,784,Roldanillo
4102,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR,Técnica o Tecnóloga,858,San Juan del Cesar
4106,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN ANDRES,Técnica o Tecnóloga,813,San Andrés
4107,INSTITUTO TECNICO AGRICOLA ITA,Técnica o Tecnóloga,397,Guadalajara de Buga
4108,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,Mixta,111,Bogotá D.C.
4109,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO,Técnica o Tecnóloga,153,Cali
4110,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Técnica o Tecnóloga,338,Espinal
4111,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL - HUMBERTO VELASQUEZ GARCIA,Técnica o Tecnóloga,221,Ciénaga
4112,COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC,Técnica o Tecnóloga,679,Pensilvania
4301,UNIDAD TECNICA PROFESIONAL DE SEVILLA-UNITEPS-,Técnica o Tecnóloga,932,Sevilla
4701,FUNDACION ACADEMIA DE DIBUJO PROFESIONAL,Técnica o Tecnóloga,153,Cali
4702,FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-,Técnica o Tecnóloga,111,Bogotá D.C.
4704,FUNDACION PARA LA EDUCACION SUPERIOR REAL DE COLOMBIA,Técnica o Tecnóloga,111,Bogotá D.C.
4705,"FUNDACION CENTRO DE EDUCACION SUPERIOR,INVESTIGACION Y PROFESIONALIZACION -CEDINPRO-",Técnica o Tecnóloga,111,Bogotá D.C.
4708,FUNDACION ESCUELA COLOMBIANA DE HOTELERIA Y TURISMO-ECOTET-,Técnica o Tecnóloga,111,Bogotá D.C.
4709,INSTITUCION UNIVERSITARIA EAM,Mixta,68,Armenia
4710,FUNDACIÓN POLITÉCNICO MINUTO DE DIOS - TEC MD,Técnica o Tecnóloga,111,Bogotá D.C.
4714,FUNDACION INTERAMERICANA TECNICA-FIT-,Técnica o Tecnóloga,111,Bogotá D.C.
4719,FUNDACION DE EDUCACION SUPERIOR NUEVA AMERICA,Técnica o Tecnóloga,111,Bogotá D.C.
4721,FUNDACION UNIVERSITARIA HORIZONTE,Mixta,111,Bogotá D.C.
4726,FUNDACION UNIVERSITARIA SAN MATEO - SAN MATEO EDUCACION SUPERIOR,Mixta,111,Bogotá D.C.
4727,POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR,Técnica o Tecnóloga,111,Bogotá D.C.
4801,CORPORACION ACADEMIA SUPERIOR DE ARTES,Técnica o Tecnóloga,562,Medellín
4803,CORPORACION POLITECNICO COLOMBO ANDINO,Técnica o Tecnóloga,111,Bogotá D.C.
4805,CORPORACION TECNICA DE COLOMBIA -CORPOTEC-,Técnica o Tecnóloga,111,Bogotá D.C.
4806,CORPORACION CENTRO DE ESTUDIOS ARTISTICOS Y TECNICOS-CEART-,Técnica o Tecnóloga,111,Bogotá D.C.
4808,CORPORACION REGIONAL DE EDUCACION SUPERIOR-CRES-DE CALI,Técnica o Tecnóloga,153,Cali
4810,CORPORACION UNIVERSITARIA CENDA,Mixta,111,Bogotá D.C.
4811,CORPORACION DE ESTUDIOS SUPERIORES SALAMANDRA,Técnica o Tecnóloga,153,Cali
4812,CORPORACION DE EDUCACION SUPERIOR SURAMERICA,Técnica o Tecnóloga,111,Bogotá D.C.
4813,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,Mixta,111,Bogotá D.C.
4817,CORPORACION EDUCATIVA DEL LITORAL,Técnica o Tecnóloga,92,Barranquilla
4818,CORPORACION UNIVERSITARIA LATINOAMERICANA - CUL,Mixta,92,Barranquilla
4822,CORPORACION ESCUELA DE ARTES Y LETRAS,Mixta,111,Bogotá D.C.
4825,CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF,Técnica o Tecnóloga,682,Pereira
4826,CORPORACION UNIVERSITARIA REGIONAL DEL CARIBE -IAFIC-,Mixta,177,Cartagena de Indias
4827,"CORPORACION EDUCATIVA INSTITUTO TECNICO SUPERIOR DE ARTES, IDEARTES",Técnica o Tecnóloga,562,Medellín
4829,CORPORACION INTERAMERICANA DE EDUCACION SUPERIOR-CORPOCIDES,Técnica o Tecnóloga,121,Bucaramanga
4832,CORPORACION INSTITUTO SUPERIOR DE EDUCACION SOCIAL-ISES-,Técnica o Tecnóloga,111,Bogotá D.C.
4835,CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO,Mixta,111,Bogotá D.C.
4837,"CORPORACION UNIVERSITARIA DE CIENCIAS EMPRESARIALES, EDUCACION Y SALUD -UNICORSALUD-",Mixta,92,Barranquilla
5801,CORPORACION ESCUELA TECNOLOGICA DEL ORIENTE,Mixta,121,Bucaramanga
5802,UNIVERSIDAD ECCI,Universitaria,111,Bogotá D.C.
9102,ESCUELA DE SUBOFICIALES DE LA FUERZA AEREA COLOMBIANA ANDRES M. DIAZ,Técnica o Tecnóloga,534,Madrid
9103,ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ,Mixta,153,Cali
9104,ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA,Mixta,111,Bogotá D.C.
9105,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,Universitaria,177,Cartagena de Indias
9107,ESCUELA DE INGENIEROS MILITARES,Mixta,111,Bogotá D.C.
9108,INSTITUTO CARO Y CUERVO,Mixta,111,Bogotá D.C.
9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,SENA,111,Bogotá D.C.
9116,FUNDACION UNIVERSITARIA CLARETIANA - UNICLARETIANA,Mixta,752,Quibdó
9117,ESCUELA INTERNACIONAL DE ESTUDIOS SUPERIORES - INTER,Técnica o Tecnóloga,111,Bogotá D.C.
9119,CORPORACION UNIVERSITARIA AMERICANA,Mixta,92,Barranquilla
9120,FUNDACION UNIVERSITARIA BELLAS ARTES,Mixta,562,Medellín
9121,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO,Mixta,177,Cartagena de Indias
9124,TECNOLOGICO COREDI,Técnica o Tecnóloga,554,Marinilla
9126,CORPORACION TECNOLOGICA INDOAMERICA,Técnica o Tecnóloga,92,Barranquilla
9127,CORPORACION UNIVERSITARIA DE SABANETA - UNISABANETA,Mixta,795,Sabaneta
9128,LCI - FUNDACION TECNOLOGICA,Técnica o Tecnóloga,111,Bogotá D.C.
9129,FUNDACION UNIVERSITARIA CAFAM -UNICAFAM,Mixta,111,Bogotá D.C.
9131,FUNDACIÓN UNIVERSITARIA CERVANTES SAN AGUSTÍN - UNICERVANTES,Mixta,111,Bogotá D.C.
9132,FUNDACION UNIVERSITARIA CIEO - UNICIEO,Mixta,111,Bogotá D.C.
9899,INSTITUCION UNIVERSITARIA DE COLOMBIA - UNIVERSITARIA DE COLOMBIA,Mixta,111,Bogotá D.C.
9900,CORPORACION UNIVERSITARIA U DE COLOMBIA,Mixta,562,Medellín
9902,FUNDACION UNIVERSITARIA COMFENALCO SANTANDER,Mixta,121,Bucaramanga
9903,CORPORACIÓN COLSUBSIDIO EDUCACIÓN TECNOLÓGICA - CET,Técnica o Tecnóloga,111,Bogotá D.C.
9904,FUNDACION UNIVERSITARIA COLOMBO GERMANA,Mixta,111,Bogotá D.C.
9905,FUNDACION ESCUELA TECNOLOGICA DE NEIVA - JESUS OVIEDO PEREZ -FET,Mixta,783,Rivera
9906,CORPORACION UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES,Mixta,153,Cali
9907,FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA,Mixta,613,Neiva
9910,FUNDACION UNIVERSITARIA LUIS G. PAEZ - UNIPAEZ,Mixta,111,Bogotá D.C.
9913,CORPORACION UNIVERSITARIA DE ASTURIAS,Mixta,111,Bogotá D.C.
9914,"ESEIT - ESCUELA SUPERIOR DE EMPRESA, INGENIERÍA Y TECNOLOGÍA",Mixta,111,Bogotá D.C.
9915,UNIVERSITARIA VIRTUAL INTERNACIONAL,Mixta,111,Bogotá D.C.
9918,INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA - CIJ,Mixta,256,Cota
9919,TECNOLOGICO DE ENERGIA E INNOVACION-  E-LERNOVA,Técnica o Tecnóloga,197,Chía
9921,FUNDACION UNIVERSITARIA CATOLICA DEL SUR - UNICATOLICA DEL SUR,Mixta,671,Pasto
9922,FUNDACION UNIVERSITARIA COMFAMILIAR RISARALDA,Mixta,682,Pereira
9923,CORPORACION UNIVERSITARIA DE CATALUÑA,Mixta,111,Bogotá D.C.
9924,FUNDACION UNIVERSITARIA INTERNACIONAL DE COLOMBIA - UNINCOL,Mixta,111,Bogotá D.C.
9925,FUNDACION UNIVERSITARIA FCV,Mixta,350,Floridablanca
9926,FUNDACION UNIVERSITARIA INTERNACIONAL DE LA RIOJA - UNIR,Mixta,111,Bogotá D.C.
9927,INSTITUCION UNIVERSITARIA DIGITAL DE ANTIOQUIA -IU. DIGITAL,Mixta,562,Medellín
9928,FUNDACIÓN UNIVERSITARIA SALESIANA,Mixta,111,Bogotá D.C.
9929,UNIVERSIDAD AUTÓNOMA INDÍGENA INTERCULTURAL - UAIIN,Universitaria,703,Popayán
9930,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Mixta,111,Bogotá D.C.
9931,FUNDACIÓN UNIVERSITARIA PATRICIO SYMES,Mixta,111,Bogotá D.C.
9932,FUNDACIÓN UNIVERSITARIA SAN PABLO - UNISANPABLO,Mixta,111,Bogotá D.C.
9934,CENTRO DE ESTUDIOS AERONÁUTICOS - CEA,Mixta,111,Bogotá D.C.
9935,UNIDAD TECNOLÓGICA DEL MAGDALENA MEDIO - UTEM -,Técnica o Tecnóloga,88,Barrancabermeja
9936,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL NORTE,Mixta,267,San José de Cúcuta
9937,CORPORACION TECNICA PROFESIONAL CAMINOS DEL SUROCCIDENTE COLOMBIANO,Técnica o Tecnóloga,1013,Timbío
9938,UNIVERSITARIA DEL CHICAMOCHA,Mixta,121,Bucaramanga
9939,FUNDACIÓN UNIVERSITARIA CATÓLICA DEL CARIBE,Mixta,92,Barranquilla
